class_id,precision,recall,f1_score,support,class_name
0,0.646551724137931,0.75,0.6944444444444444,100,battery
1,1.0,0.9803921568627451,0.9900990099009901,102,biological
2,0.6875,0.88,0.7719298245614035,100,cardboard
3,0.9789473684210527,0.93,0.9538461538461539,100,clothes
4,0.6013513513513513,0.89,0.717741935483871,100,glass
5,0.6702127659574468,0.6237623762376238,0.6461538461538462,101,metal
6,0.49640287769784175,0.69,0.5774058577405857,100,paper
7,0.0,0.0,0.0,75,plastic
8,0.9514563106796117,0.98,0.9655172413793104,100,shoes
9,0.92,0.4842105263157895,0.6344827586206897,95,trash
